    i,  t(s),    U(V),   I(mA), Tself, Tprob
  249,   531,  0.4308, -0.0009,  20.7, 229.4
  250,   531,  0.4405, -0.0009,  20.7, 234.2
  251,   532,  0.4480, -0.0009,  20.7, 237.8
  252,   532,  0.4720, -0.0009,  20.7, 249.6
  253,   532,  0.4827, -0.0009,  20.7, 254.8
  254,   533,  0.4936, -0.0009,  20.7, 260.1
  255,   533,  0.5040, -0.0009,  20.7, 265.1
  256,   533,  0.5072, -0.0009,  20.7, 266.7
  257,   534,  0.5089, -0.0009,  20.7, 267.5
  258,   534,  0.5115, -0.0009,  20.7, 268.7
  259,   534,  0.5114, -0.0009,  20.7, 268.7
  260,   535,  0.5105, -0.0009,  20.7, 268.3
  261,   535,  0.5091, -0.0009,  20.7, 267.6
  262,   535,  0.5069, -0.0009,  20.7, 266.5
  263,   536,  0.5056, -0.0009,  20.7, 265.9
  264,   536,  0.5053, -0.0009,  20.7, 265.8
  265,   536,  0.5053, -0.0009,  20.7, 265.8
  266,   537,  0.5056, -0.0009,  20.7, 265.9
  267,   537,  0.5035, -0.0009,  20.7, 264.9
  268,   537,  0.4824, -0.0009,  20.7, 254.6
  269,   538,  0.4321, -0.0009,  20.7, 230.0
  270,   538,  0.4004, -0.0009,  20.7, 214.4
  271,   538,  0.3730, -0.0009,  20.7, 200.9
  272,   539,  0.3468, -0.0009,  20.7, 187.9
  273,   539,  0.3238, -0.0009,  20.7, 176.7
  274,   539,  0.3037, -0.0009,  20.7, 166.8
  275,   540,  0.2851, -0.0009,  20.7, 157.8
  276,   540,  0.2706, -0.0009,  20.7, 150.7
  277,   540,  0.2703, -0.0009,  20.7, 150.6
  278,   541,  0.2592, -0.0009,  20.6, 145.1
  279,   541,  0.2390, -0.0009,  20.6, 135.4
  280,   541,  0.2231, -0.0009,  20.6, 127.8
  281,   542,  0.2104, -0.0009,  20.7, 121.8
  282,   542,  0.2209, -0.0009,  20.7, 126.9
  283,   542,  0.2523, -0.0009,  20.7, 141.9
  284,   543,  0.2568, -0.0009,  20.6, 144.0
